,Return,Risk
0,-6.73,24.17
1,-5.56,22.21
2,-4.39,20.49
3,-3.22,19.07
4,-2.04,18.02
5,-0.87,17.34
6,0.3,16.8
7,1.47,16.34
8,2.65,15.9
9,3.82,15.5
10,4.99,15.12
11,6.16,14.77
12,7.34,14.46
13,8.51,14.18
14,9.68,13.93
15,10.85,13.73
16,12.02,13.56
17,13.2,13.44
18,14.37,13.35
19,15.54,13.3
20,16.71,13.28
21,17.89,13.3
22,19.06,13.34
23,20.23,13.43
24,21.4,13.54
25,22.57,13.68
26,23.75,13.84
27,24.92,14.03
28,26.09,14.24
29,27.26,14.47
30,28.44,14.73
31,29.61,15.0
32,30.78,15.28
33,31.95,15.59
34,33.13,15.91
35,34.3,16.25
36,35.47,16.6
37,36.64,16.98
38,37.81,17.37
39,38.99,17.79
40,40.16,18.22
41,41.33,18.69
42,42.5,19.25
43,43.68,19.93
44,44.85,20.76
45,46.02,21.77
46,47.19,22.95
47,48.36,24.26
48,49.54,25.69
49,50.71,36.22
