Target Return (%),Expected Return (%),Annualized Volatility (%),Weights
-6.73,-6.73,24.17,"[0.00000000e+00 4.57966998e-16 2.49800181e-16 0.00000000e+00
 0.00000000e+00 8.60422844e-16 9.99999963e-01 1.38777878e-16
 0.00000000e+00 3.67852816e-08]"
-6.15,-6.15,23.17,"[5.55111512e-17 0.00000000e+00 6.93889390e-16 7.77156117e-16
 0.00000000e+00 1.38777878e-16 9.52607931e-01 0.00000000e+00
 0.00000000e+00 4.73920689e-02]"
-5.57,-5.57,22.23,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.11022302e-16 4.71844785e-16 9.05215878e-01 0.00000000e+00
 4.16333634e-17 9.47841223e-02]"
-4.99,-4.99,21.34,"[1.52655666e-16 0.00000000e+00 1.80411242e-16 2.77555756e-17
 2.77555756e-17 5.27355937e-16 8.57823824e-01 0.00000000e+00
 0.00000000e+00 1.42176176e-01]"
-4.41,-4.41,20.52,"[7.77156117e-16 0.00000000e+00 5.55111512e-17 0.00000000e+00
 0.00000000e+00 0.00000000e+00 8.10431771e-01 7.35522754e-16
 1.94289029e-16 1.89568229e-01]"
-3.83,-3.83,19.77,"[4.16333634e-17 0.00000000e+00 4.16333634e-16 1.66533454e-16
 0.00000000e+00 5.55111512e-17 7.63039718e-01 0.00000000e+00
 0.00000000e+00 2.36960282e-01]"
-3.25,-3.25,19.1,"[1.94289029e-16 5.55111512e-17 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.38777878e-16 7.15647664e-01 2.77555756e-17
 1.38777878e-16 2.84352336e-01]"
-2.67,-2.67,18.53,"[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.71445147e-17 0.00000000e+00 6.68255600e-01 1.94289029e-16
 8.32667268e-17 3.31744400e-01]"
-2.09,-2.09,18.05,"[2.08166817e-17 0.00000000e+00 0.00000000e+00 4.46691295e-17
 0.00000000e+00 0.00000000e+00 6.20863571e-01 3.46944695e-18
 0.00000000e+00 3.79136429e-01]"
-1.51,-1.51,17.68,"[3.19761542e-03 3.12250226e-17 0.00000000e+00 0.00000000e+00
 6.07153217e-18 0.00000000e+00 5.76893058e-01 4.51028104e-17
 1.21430643e-17 4.19909327e-01]"
-0.93,-0.93,17.37,"[2.57961762e-02 1.25767452e-17 1.04083409e-17 0.00000000e+00
 3.03576608e-17 8.67361738e-18 5.53682115e-01 0.00000000e+00
 3.46944695e-18 4.20521709e-01]"
-0.35,-0.35,17.09,"[4.83947262e-02 1.02999206e-17 5.31259065e-18 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.30471161e-01 2.38524478e-18
 2.27682456e-18 4.21134112e-01]"
0.23,0.23,16.83,"[6.20551205e-02 5.20417043e-18 6.33426639e-03 1.12757026e-17
 2.73218947e-17 0.00000000e+00 5.11747314e-01 0.00000000e+00
 0.00000000e+00 4.19863299e-01]"
0.81,0.81,16.59,"[6.55069700e-02 0.00000000e+00 1.99373807e-02 0.00000000e+00
 0.00000000e+00 2.38524478e-17 4.98224385e-01 2.60208521e-18
 5.63785130e-18 4.16331264e-01]"
1.39,1.39,16.37,"[6.41815710e-02 0.00000000e+00 2.72525571e-02 0.00000000e+00
 6.07153217e-18 0.00000000e+00 4.85750824e-01 2.38524478e-17
 8.40033857e-03 4.14414710e-01]"
1.97,1.97,16.15,"[6.20206768e-02 1.64798730e-17 3.10390371e-02 8.67361738e-18
 0.00000000e+00 0.00000000e+00 4.75401644e-01 5.63785130e-18
 2.13313691e-02 4.10207273e-01]"
2.55,2.55,15.94,"[6.00793430e-02 1.73472348e-18 3.48624699e-02 6.93889390e-18
 1.84314369e-18 0.00000000e+00 4.64993157e-01 3.68628739e-18
 3.41052442e-02 4.05959786e-01]"
3.13,3.13,15.73,"[5.82338108e-02 0.00000000e+00 3.87355118e-02 4.33680869e-18
 1.99493200e-17 1.73472348e-18 4.54501689e-01 8.67361738e-19
 4.67556648e-02 4.01773324e-01]"
3.71,3.71,15.53,"[5.63730512e-02 1.08420217e-17 4.27018227e-02 6.07153217e-18
 0.00000000e+00 0.00000000e+00 4.43979204e-01 2.81892565e-18
 5.93135084e-02 3.97632413e-01]"
4.29,4.29,15.34,"[5.43699141e-02 1.30104261e-17 4.72565505e-02 1.30104261e-17
 1.43114687e-17 5.20417043e-18 4.33697636e-01 0.00000000e+00
 7.14903794e-02 3.93185520e-01]"
4.87,4.87,15.16,"[5.29625222e-02 4.33680869e-18 5.13927933e-02 0.00000000e+00
 3.25260652e-18 0.00000000e+00 4.22911800e-01 2.60208521e-18
 8.35781015e-02 3.89154783e-01]"
5.45,5.45,14.98,"[4.72487403e-02 9.97465999e-18 6.26586387e-02 0.00000000e+00
 0.00000000e+00 2.71050543e-18 4.16553887e-01 3.36102673e-18
 9.28337991e-02 3.80704935e-01]"
6.03,6.03,14.81,"[4.52434770e-02 0.00000000e+00 6.73027231e-02 8.48388200e-18
 0.00000000e+00 1.38777878e-17 4.06446462e-01 0.00000000e+00
 1.05001564e-01 3.76005774e-01]"
6.61,6.61,14.65,"[4.32408534e-02 0.00000000e+00 7.19470965e-02 0.00000000e+00
 1.95156391e-18 1.79977561e-17 3.96339550e-01 0.00000000e+00
 1.17168095e-01 3.71304404e-01]"
7.19,7.19,14.49,"[4.12393513e-02 1.36609474e-17 7.65985591e-02 2.23345648e-17
 0.00000000e+00 0.00000000e+00 3.86236927e-01 0.00000000e+00
 1.29329348e-01 3.66595815e-01]"
7.77,7.77,14.35,"[4.31944778e-02 0.00000000e+00 7.48051630e-02 0.00000000e+00
 1.48015422e-03 4.52654407e-18 3.71914144e-01 0.00000000e+00
 1.43088966e-01 3.65517096e-01]"
8.35,8.35,14.21,"[3.88348932e-02 2.61563774e-18 8.16602402e-02 1.61275073e-18
 2.50826551e-03 0.00000000e+00 3.62661112e-01 0.00000000e+00
 1.54032139e-01 3.60303351e-01]"
8.93,8.93,14.08,"[3.67886389e-02 4.82469967e-18 8.59715040e-02 0.00000000e+00
 4.81863418e-03 0.00000000e+00 3.52240567e-01 0.00000000e+00
 1.65081129e-01 3.55099527e-01]"
9.51,9.51,13.97,"[3.65273320e-02 0.00000000e+00 8.87927947e-02 0.00000000e+00
 9.04033050e-03 0.00000000e+00 3.41120133e-01 1.04083409e-17
 1.75332954e-01 3.49186455e-01]"
10.09,10.09,13.86,"[3.44502541e-02 2.60208521e-18 9.35989235e-02 6.12574227e-18
 1.11831812e-02 8.23993651e-18 3.30914389e-01 0.00000000e+00
 1.86122214e-01 3.43731039e-01]"
10.67,10.67,13.76,"[3.28493469e-02 9.66295186e-18 9.83917339e-02 0.00000000e+00
 1.31376492e-02 2.92734587e-18 3.20678880e-01 3.69983991e-18
 1.96805741e-01 3.38136649e-01]"
