Target Return (%),Expected Return (%),Annualized Volatility (%)
-6.73,-6.73,24.17
-6.35,-6.35,23.5
-5.96,-5.96,22.86
-5.58,-5.58,22.23
-5.19,-5.19,21.64
-4.8,-4.8,21.07
-4.42,-4.42,20.53
-4.03,-4.03,20.02
-3.65,-3.65,19.55
-3.26,-3.26,19.12
-2.88,-2.88,18.72
-2.49,-2.49,18.37
-2.11,-2.11,18.06
-1.72,-1.72,17.8
-1.34,-1.34,17.58
-0.95,-0.95,17.38
-0.56,-0.56,17.19
-0.18,-0.18,17.01
0.21,0.21,16.84
0.59,0.59,16.68
0.98,0.98,16.53
1.36,1.36,16.38
1.75,1.75,16.23
2.13,2.13,16.09
2.52,2.52,15.95
2.91,2.91,15.81
3.29,3.29,15.68
3.68,3.68,15.54
4.06,4.06,15.42
4.45,4.45,15.29
4.83,4.83,15.17
5.22,5.22,15.05
5.6,5.6,14.93
5.99,5.99,14.82
6.38,6.38,14.71
6.76,6.76,14.61
7.15,7.15,14.5
7.53,7.53,14.41
7.92,7.92,14.31
8.3,8.3,14.22
8.69,8.69,14.14
9.07,9.07,14.06
9.46,9.46,13.98
9.84,9.84,13.9
10.23,10.23,13.83
10.62,10.62,13.77
11.0,11.0,13.71
11.39,11.39,13.65
11.77,11.77,13.6
12.16,12.16,13.55
12.54,12.54,13.5
12.93,12.93,13.46
13.31,13.31,13.43
13.7,13.7,13.4
14.09,14.09,13.37
14.47,14.47,13.35
14.86,14.86,13.33
15.24,15.24,13.31
15.63,15.63,13.3
16.01,16.01,13.29
16.4,16.4,13.28
16.78,16.78,13.28
17.17,17.17,13.28
17.56,17.56,13.29
17.94,17.94,13.3
18.33,18.33,13.31
18.71,18.71,13.33
19.1,19.1,13.35
19.48,19.48,13.37
19.87,19.87,13.4
20.25,20.25,13.43
20.64,20.64,13.46
21.02,21.02,13.5
21.41,21.41,13.54
21.8,21.8,13.58
22.18,22.18,13.63
22.57,22.57,13.68
22.95,22.95,13.73
23.34,23.34,13.78
23.72,23.72,13.84
24.11,24.11,13.9
24.49,24.49,13.96
24.88,24.88,14.03
25.27,25.27,14.09
25.65,25.65,14.16
26.04,26.04,14.23
26.42,26.42,14.31
26.81,26.81,14.38
27.19,27.19,14.46
27.58,27.58,14.54
27.96,27.96,14.62
28.35,28.35,14.71
28.74,28.74,14.79
29.12,29.12,14.88
29.51,29.51,14.97
29.89,29.89,15.06
30.28,30.28,15.16
30.66,30.66,15.25
31.05,31.05,15.35
31.43,31.43,15.45
31.82,31.82,15.55
32.2,32.2,15.66
32.59,32.59,15.76
32.98,32.98,15.87
33.36,33.36,15.98
33.75,33.75,16.09
34.13,34.13,16.2
34.52,34.52,16.32
34.9,34.9,16.43
35.29,35.29,16.55
35.67,35.67,16.67
36.06,36.06,16.79
36.45,36.45,16.91
36.83,36.83,17.04
37.22,37.22,17.17
37.6,37.6,17.3
37.99,37.99,17.43
38.37,38.37,17.57
38.76,38.76,17.71
39.14,39.14,17.85
39.53,39.53,17.99
39.91,39.91,18.13
40.3,40.3,18.27
40.69,40.69,18.42
41.07,41.07,18.58
41.46,41.46,18.75
41.84,41.84,18.92
42.23,42.23,19.11
42.61,42.61,19.31
43.0,43.0,19.52
43.38,43.38,19.75
43.77,43.77,19.99
44.16,44.16,20.24
44.54,44.54,20.52
44.93,44.93,20.82
45.31,45.31,21.14
45.7,45.7,21.47
46.08,46.08,21.83
46.47,46.47,22.2
46.85,46.85,22.59
47.24,47.24,23.0
47.63,47.63,23.42
48.01,48.01,23.85
48.4,48.4,24.3
48.78,48.78,24.75
49.17,49.17,25.22
49.55,49.55,25.71
49.94,49.94,26.34
50.32,50.32,29.84
50.71,50.71,36.22
